開課班別(代表),學院,科系,年級,班級
資訊管理學系,管理學院,資訊管理學系,,
資訊管理學系1,管理學院,資訊管理學系,1,
資訊管理學系2,管理學院,資訊管理學系,2,
資訊管理學系3,管理學院,資訊管理學系,3,
資訊管理學系4,管理學院,資訊管理學系,4,
資訊管理學系1A,管理學院,資訊管理學系,1,A
資訊管理學系1B,管理學院,資訊管理學系,1,B
資訊管理學系2A,管理學院,資訊管理學系,2,A
資訊管理學系2B,管理學院,資訊管理學系,2,B
資訊管理學系3A,管理學院,資訊管理學系,3,A
資訊管理學系3B,管理學院,資訊管理學系,3,B
資訊管理學系4A,管理學院,資訊管理學系,4,A
資訊管理學系4B,管理學院,資訊管理學系,4,B
會計學系,管理學院,會計學系,,
企業管理學系,管理學院,企業管理學系,,
財務金融技術學系,管理學院,財務金融技術學系,,
數學系,理學院,數學系,,
物理學系,理學院,物理學系,,
化學系,理學院,化學系,,
生物學系,理學院,生物學系,,
國文學系,文學院,國文學系,,
英語學系,文學院,英語學系,,
美術學系,文學院,美術學系,,
地理學系,文學院,地理學系,,
機電工程學系,工學院,機電工程學系,,
電機工程學系,工學院,電機工程學系,,
電子工程學系,工學院,電子工程學系,,
資訊工程學系,工學院,資訊工程學系,,
輔導與諮商學系,教育學院,輔導與諮商學系,,
特殊教育學系,教育學院,特殊教育學系,,
運動學系,社會科學暨體育學院,運動學系,,
公共事務與公民教育學系,社會科學暨體育學院,公共事務與公民教育學系,,
電機與機械科技學系,科技學院,電機與機械科技學系,,
智慧車輛工程學系,科技學院,智慧車輛工程學系,,